cai_max = 9.751300e-01, cai_max_time = 3.874628e-02
current time 8.049316e-01; cai_current: 1.085686e-01; cai_next: 1.085939e-01; cai_current_2dt 1.086182e-01
current time 8.049622e-01; cai_current: 1.085939e-01; cai_next: 1.086182e-01; cai_current_2dt 1.086430e-01
current time 8.049927e-01; cai_current: 1.086182e-01; cai_next: 1.086430e-01; cai_current_2dt 1.086631e-01
current time 8.050232e-01; cai_current: 1.086430e-01; cai_next: 1.086631e-01; cai_current_2dt 1.086901e-01
current time 8.050537e-01; cai_current: 1.086631e-01; cai_next: 1.086901e-01; cai_current_2dt 1.087137e-01
current time 8.050842e-01; cai_current: 1.086901e-01; cai_next: 1.087137e-01; cai_current_2dt 1.087431e-01
current time 8.051147e-01; cai_current: 1.087137e-01; cai_next: 1.087431e-01; cai_current_2dt 1.087709e-01
current time 8.051453e-01; cai_current: 1.087431e-01; cai_next: 1.087709e-01; cai_current_2dt 1.087960e-01
current time 8.051758e-01; cai_current: 1.087709e-01; cai_next: 1.087960e-01; cai_current_2dt 1.088275e-01
current time 8.052063e-01; cai_current: 1.087960e-01; cai_next: 1.088275e-01; cai_current_2dt 1.088552e-01
current time 8.052368e-01; cai_current: 1.088275e-01; cai_next: 1.088552e-01; cai_current_2dt 1.088825e-01
current time 8.052673e-01; cai_current: 1.088552e-01; cai_next: 1.088825e-01; cai_current_2dt 1.089099e-01
current time 8.052979e-01; cai_current: 1.088825e-01; cai_next: 1.089099e-01; cai_current_2dt 1.089407e-01
current time 8.053284e-01; cai_current: 1.089099e-01; cai_next: 1.089407e-01; cai_current_2dt 1.089715e-01
current time 8.053589e-01; cai_current: 1.089407e-01; cai_next: 1.089715e-01; cai_current_2dt 1.090022e-01
current time 8.053894e-01; cai_current: 1.089715e-01; cai_next: 1.090022e-01; cai_current_2dt 1.090330e-01
current time 8.054199e-01; cai_current: 1.090022e-01; cai_next: 1.090330e-01; cai_current_2dt 1.090638e-01
current time 8.054504e-01; cai_current: 1.090330e-01; cai_next: 1.090638e-01; cai_current_2dt 1.090946e-01
current time 8.054810e-01; cai_current: 1.090638e-01; cai_next: 1.090946e-01; cai_current_2dt 1.091254e-01
current time 8.055115e-01; cai_current: 1.090946e-01; cai_next: 1.091254e-01; cai_current_2dt 1.091562e-01
current time 8.055420e-01; cai_current: 1.091254e-01; cai_next: 1.091562e-01; cai_current_2dt 1.091877e-01
current time 8.055725e-01; cai_current: 1.091562e-01; cai_next: 1.091877e-01; cai_current_2dt 1.092220e-01
current time 8.056030e-01; cai_current: 1.091877e-01; cai_next: 1.092220e-01; cai_current_2dt 1.092562e-01
current time 8.056335e-01; cai_current: 1.092220e-01; cai_next: 1.092562e-01; cai_current_2dt 1.092903e-01
current time 8.056641e-01; cai_current: 1.092562e-01; cai_next: 1.092903e-01; cai_current_2dt 1.093244e-01
current time 8.056946e-01; cai_current: 1.092903e-01; cai_next: 1.093244e-01; cai_current_2dt 1.093584e-01
current time 8.057251e-01; cai_current: 1.093244e-01; cai_next: 1.093584e-01; cai_current_2dt 1.093925e-01
current time 8.057556e-01; cai_current: 1.093584e-01; cai_next: 1.093925e-01; cai_current_2dt 1.094266e-01
current time 8.057861e-01; cai_current: 1.093925e-01; cai_next: 1.094266e-01; cai_current_2dt 1.094606e-01
current time 8.058167e-01; cai_current: 1.094266e-01; cai_next: 1.094606e-01; cai_current_2dt 1.094947e-01
current time 8.058472e-01; cai_current: 1.094606e-01; cai_next: 1.094947e-01; cai_current_2dt 1.095295e-01
current time 8.058777e-01; cai_current: 1.094947e-01; cai_next: 1.095295e-01; cai_current_2dt 1.095664e-01
current time 8.059082e-01; cai_current: 1.095295e-01; cai_next: 1.095664e-01; cai_current_2dt 1.096033e-01
current time 8.059387e-01; cai_current: 1.095664e-01; cai_next: 1.096033e-01; cai_current_2dt 1.096402e-01
current time 8.059692e-01; cai_current: 1.096033e-01; cai_next: 1.096402e-01; cai_current_2dt 1.096771e-01
current time 8.059998e-01; cai_current: 1.096402e-01; cai_next: 1.096771e-01; cai_current_2dt 1.097140e-01
current time 8.060303e-01; cai_current: 1.096771e-01; cai_next: 1.097140e-01; cai_current_2dt 1.097509e-01
current time 8.060608e-01; cai_current: 1.097140e-01; cai_next: 1.097509e-01; cai_current_2dt 1.097878e-01
current time 8.060913e-01; cai_current: 1.097509e-01; cai_next: 1.097878e-01; cai_current_2dt 1.098247e-01
current time 8.061218e-01; cai_current: 1.097878e-01; cai_next: 1.098247e-01; cai_current_2dt 1.098616e-01
current time 8.061523e-01; cai_current: 1.098247e-01; cai_next: 1.098616e-01; cai_current_2dt 1.098985e-01
current time 8.061829e-01; cai_current: 1.098616e-01; cai_next: 1.098985e-01; cai_current_2dt 1.099373e-01
current time 8.062134e-01; cai_current: 1.098985e-01; cai_next: 1.099373e-01; cai_current_2dt 1.099771e-01
current time 8.062439e-01; cai_current: 1.099373e-01; cai_next: 1.099771e-01; cai_current_2dt 1.100168e-01
current time 8.062744e-01; cai_current: 1.099771e-01; cai_next: 1.100168e-01; cai_current_2dt 1.100564e-01
current time 8.063049e-01; cai_current: 1.100168e-01; cai_next: 1.100564e-01; cai_current_2dt 1.100955e-01
current time 8.063354e-01; cai_current: 1.100564e-01; cai_next: 1.100955e-01; cai_current_2dt 1.101345e-01
current time 8.063660e-01; cai_current: 1.100955e-01; cai_next: 1.101345e-01; cai_current_2dt 1.101735e-01
current time 8.063965e-01; cai_current: 1.101345e-01; cai_next: 1.101735e-01; cai_current_2dt 1.102126e-01
current time 8.064270e-01; cai_current: 1.101735e-01; cai_next: 1.102126e-01; cai_current_2dt 1.102516e-01
current time 8.064575e-01; cai_current: 1.102126e-01; cai_next: 1.102516e-01; cai_current_2dt 1.102925e-01
current time 8.064880e-01; cai_current: 1.102516e-01; cai_next: 1.102925e-01; cai_current_2dt 1.103351e-01
current time 8.065186e-01; cai_current: 1.102925e-01; cai_next: 1.103351e-01; cai_current_2dt 1.103776e-01
current time 8.065491e-01; cai_current: 1.103351e-01; cai_next: 1.103776e-01; cai_current_2dt 1.104202e-01
current time 8.065796e-01; cai_current: 1.103776e-01; cai_next: 1.104202e-01; cai_current_2dt 1.104628e-01
current time 8.066101e-01; cai_current: 1.104202e-01; cai_next: 1.104628e-01; cai_current_2dt 1.105053e-01
current time 8.066406e-01; cai_current: 1.104628e-01; cai_next: 1.105053e-01; cai_current_2dt 1.105479e-01
current time 8.066711e-01; cai_current: 1.105053e-01; cai_next: 1.105479e-01; cai_current_2dt 1.105905e-01
